reference,date,amount,fee,terminal_type,terminal_id,location,net_amount
010812997,2024-10-27T10:52:52,500,0,TELEVINTI4,0009718182,,500
010813900,2024-10-27T15:06:13,1000,20,ATM,0000004103,Praia,980
010816126,2024-10-27T15:46:02,150,0,TELEVINTI4,0009865066,,150
010822069,2024-10-27T18:58:21,500,10,ATM,0000000306,Sal,490
010832648,2024-10-27T13:56:00,150,0,TELEVINTI4,0009701239,,150
010835017,2024-10-27T15:06:15,200,4,ATM,0000000601,Ribeira Grande,196
010845327,2024-10-27T18:00:54,500,0,TELEVINTI4,0009738757,,500
010853666,2024-10-27T17:48:46,200,4,ATM,0000000310,Sal,196
010858145,2024-10-27T18:27:14,510,10,ATM,0000100401,Praia,500
010858351,2024-10-27T19:34:18,500,0,TELEVINTI4,0009716379,,500
010861545,2024-10-27T14:26:02,500,0,TELEVINTI4,0009986789,,500
010861617,2024-10-27T19:34:40,150,0,TELEVINTI4,0009973337,,150
010864402,2024-10-27T11:06:55,1150,0,TELEVINTI4,0009926764,,1150
010866340,2024-10-27T10:31:35,200,4,ATM,0000000602,Sal,196
010867006,2024-10-27T14:21:51,500,10,ATM,0000120004,Sal,490
010871529,2024-10-27T21:43:44,200,4,ATM,0000000901,Sao Vicente,196
010872167,2024-10-27T02:22:42,500,10,ATM,0000000306,Sao Vicente,490
010873033,2024-10-27T19:27:12,150,0,TELEVINTI4,0009707344,,150
010875002,2024-10-27T13:58:09,500,0,TELEVINTI4,0009978338,,500
010875244,2024-10-27T17:01:02,500,0,TELEVINTI4,0009736990,,500
010875600,2024-10-27T14:46:57,150,3,ATM,0000003704,Sao Vicente,147
010876537,2024-10-27T18:51:17,1000,20,ATM,0000003703,Sao Vicente,980
010880673,2024-10-27T20:18:05,50,0,TELEVINTI4,0009564459,,50
010880840,2024-10-27T16:12:47,250,0,TELEVINTI4,0005973956,,250
010881745,2024-10-27T13:33:43,500,0,TELEVINTI4,0009999469,,500
010883122,2024-10-27T16:31:15,250,0,TELEVINTI4,0005978591,,250
010885224,2024-10-27T10:31:47,100,2,ATM,0000120002,Sal,98
010885860,2024-10-27T12:24:09,200,4,ATM,0000001810,Praia,196
010888111,2024-10-27T18:32:12,120,2,ATM,0000002301,Praia,118
010888222,2024-10-27T16:42:40,250,0,TELEVINTI4,0005867148,,250
010888899,2024-10-27T12:40:51,500,0,TELEVINTI4,0005909590,,500
010890172,2024-10-27T14:14:58,610,0,TELEVINTI4,0005988960,,610
010890590,2024-10-27T13:44:52,250,0,TELEVINTI4,0009888711,,250
010891622,2024-10-27T17:08:17,500,0,TELEVINTI4,0009588040,,500
010894978,2024-10-27T18:32:03,150,0,TELEVINTI4,0009745555,,150
010895176,2024-10-27T18:58:09,100,2,ATM,0000120002,Sal,98
010895739,2024-10-27T17:55:20,500,10,ATM,0000100301,Praia,490
010895871,2024-10-27T11:44:21,500,10,ATM,0000000305,Sal,490
010895993,2024-10-27T11:11:30,300,0,TELEVINTI4,0005997222,,300
010898886,2024-10-27T17:55:34,1000,0,TELEVINTI4,0009762291,,1000
010899290,2024-10-27T14:47:09,500,10,ATM,0000100101,Praia,490
010899540,2024-10-27T14:05:56,500,0,TELEVINTI4,0005989241,,500
010899590,2024-10-27T18:04:48,500,0,TELEVINTI4,0009867784,,500
010900213,2024-10-27T18:00:58,500,0,TELEVINTI4,0009820579,,500
010901247,2024-10-27T15:00:41,150,3,ATM,0000001814,Praia,147
010901499,2024-10-27T10:23:49,200,4,ATM,0000000401,Praia,196
010901639,2024-10-27T00:03:16,200,0,TELEVINTI4,0009524465,,200
010901692,2024-10-27T16:13:38,250,5,ATM,0000000305,Sal,245
010902090,2024-10-27T14:38:56,250,0,TELEVINTI4,0005839571,,250
010902123,2024-10-27T09:25:30,50,1,ATM,0000003703,Sao Vicente,49
010902547,2024-10-27T15:47:00,1000,0,TELEVINTI4,0009916869,,1000
010902701,2024-10-27T18:00:58,500,10,ATM,0000003801,Praia,490
010902772,2024-10-27T15:42:15,1000,0,TELEVINTI4,0009727694,,1000
010902787,2024-10-27T15:46:12,500,0,TELEVINTI4,0005806843,,500
010903049,2024-10-27T16:55:50,1000,20,ATM,0000000308,Sal,980
010903302,2024-10-27T09:43:43,250,0,TELEVINTI4,0009858562,,250
010903576,2024-10-27T12:24:17,250,0,TELEVINTI4,0005999962,,250
010903710,2024-10-27T09:25:47,700,14,ATM,0000000701,Boa Vista,686
010903940,2024-10-27T10:23:51,400,8,ATM,0000000601,Sal,392
010903967,2024-10-27T15:01:00,1000,0,TELEVINTI4,0009893012,,1000
010904743,2024-10-27T22:28:37,250,5,ATM,0000003804,Sal,245
010904803,2024-10-27T21:28:42,50,0,TELEVINTI4,0009568594,,50
010904879,2024-10-27T12:42:27,500,0,TELEVINTI4,0009720122,,500
010905055,2024-10-27T13:27:32,150,0,TELEVINTI4,0009742492,,150
010905225,2024-10-27T17:25:06,250,0,TELEVINTI4,0009961396,,250
010905241,2024-10-27T13:33:48,150,0,TELEVINTI4,0009950442,,150
010906365,2024-10-27T09:43:52,300,0,TELEVINTI4,0009911920,,300
010906512,2024-10-27T11:58:56,200,0,TELEVINTI4,0009831220,,200
010906583,2024-10-27T17:35:31,250,0,TELEVINTI4,0009949105,,250
010906813,2024-10-27T06:16:50,200,4,ATM,0000120001,Sal,196
010907020,2024-10-27T10:41:33,500,0,TELEVINTI4,0005931092,,500
010907313,2024-10-27T22:28:41,1000,20,ATM,0000000213,Sao Vicente,980
010907946,2024-10-27T17:15:50,500,0,TELEVINTI4,0009524007,,500
010907964,2024-10-27T10:54:13,500,0,TELEVINTI4,0009920862,,500
010908753,2024-10-27T11:46:23,500,0,TELEVINTI4,0009878447,,500
010909272,2024-10-27T13:12:40,250,0,TELEVINTI4,0009835369,,250
010909680,2024-10-27T19:01:06,250,0,TELEVINTI4,0005809121,,250
